,dates,overall-ratings,work-balance-stars,carrer-opportunities-stars,comp-benefit-stars
60918,"Apr 1, 2010",3,3.5,3,3.5
60417,"Apr 1, 2011",4,3.5,3,3.5
59966,"Apr 1, 2012",1,1,1,3
59944,"Apr 1, 2012",2,3,2.5,3
59952,"Apr 1, 2012",4,5,4,4.5
58954,"Apr 1, 2013",3,3,4,3
58953,"Apr 1, 2013",4,4,4,4
57604,"Apr 1, 2014",2,1,3,4
57597,"Apr 1, 2014",3,4,3,4
57598,"Apr 1, 2014",3,3,2,2
57580,"Apr 1, 2014",4,none,none,none
57592,"Apr 1, 2014",4,none,none,none
57593,"Apr 1, 2014",4,5,5,4
57594,"Apr 1, 2014",4,2,3,3
57526,"Apr 1, 2014",5,5,5,4
57527,"Apr 1, 2014",5,none,none,none
57528,"Apr 1, 2014",5,5,5,5
55865,"Apr 1, 2015",2,2,2,3
55873,"Apr 1, 2015",4,4,4,4
55874,"Apr 1, 2015",4,3,3,3
55877,"Apr 1, 2015",4,4,3,4
55878,"Apr 1, 2015",4,4,4,4
55810,"Apr 1, 2015",5,4,5,5
55811,"Apr 1, 2015",5,5,5,5
53623,"Apr 1, 2016",2,2,2,3
53629,"Apr 1, 2016",2,3,1,4
53630,"Apr 1, 2016",4,5,4,3
53631,"Apr 1, 2016",4,5,4,3
53632,"Apr 1, 2016",4,4,4,4
53633,"Apr 1, 2016",4,2,4,3
53634,"Apr 1, 2016",4,3,3,3
64455,"Apr 1, 2016",4,4,4,4
53546,"Apr 1, 2016",5,5,5,5
64424,"Apr 1, 2016",5,none,none,none
51842,"Apr 1, 2017",4,5,4,4
51777,"Apr 1, 2017",5,5,3,5
63476,"Apr 1, 2017",5,2,5,4
50354,"Apr 1, 2018",3,4,4,4
50363,"Apr 1, 2018",4,3,3,5
50315,"Apr 1, 2018",5,5,5,5
62538,"Apr 1, 2018",5,3,4,4
61236,"Apr 10, 2009",5,5,5,4.5
60412,"Apr 10, 2011",4,4.5,4,4
59933,"Apr 10, 2012",3,3.5,4,2.5
59923,"Apr 10, 2012",5,5,5,5
58924,"Apr 10, 2013",3,4,3,3
57554,"Apr 10, 2014",3,3,4,4
57548,"Apr 10, 2014",4,3,4,5
57549,"Apr 10, 2014",4,none,none,none
65402,"Apr 10, 2015",3,4,1,4
55830,"Apr 10, 2015",4,5,4,5
55831,"Apr 10, 2015",4,3,4,3
65401,"Apr 10, 2015",4,4,3,4
55681,"Apr 10, 2015",5,2,4,4
55787,"Apr 10, 2015",5,3,4,3
55788,"Apr 10, 2015",5,5,4,5
55789,"Apr 10, 2015",5,5,4,5
53555,"Apr 10, 2016",3,4,5,5
53559,"Apr 10, 2016",4,2,2,3
